input,output,cycles taken
-3.1415 , -1.0412 , 220460
-3.1315 , -1.0411 , 224730
-3.1215 , -1.0410 , 224615
-3.1115 , -1.0407 , 224890
-3.1015 , -1.0403 , 225295
-3.0915 , -1.0398 , 224875
-3.0815 , -1.0393 , 225190
-3.0715 , -1.0386 , 224775
-3.0615 , -1.0378 , 224835
-3.0515 , -1.0370 , 225140
-3.0415 , -1.0360 , 224700
-3.0315 , -1.0350 , 224985
-3.0215 , -1.0338 , 225210
-3.0115 , -1.0326 , 224645
-3.0015 , -1.0312 , 224430
-2.9915 , -1.0298 , 225055
-2.9815 , -1.0282 , 224925
-2.9715 , -1.0266 , 225025
-2.9615 , -1.0249 , 225345
-2.9515 , -1.0230 , 224905
-2.9415 , -1.0211 , 224685
-2.9315 , -1.0191 , 224715
-2.9215 , -1.0169 , 224885
-2.9115 , -1.0147 , 225085
-2.9015 , -1.0124 , 225015
-2.8915 , -1.0100 , 224945
-2.8815 , -1.0075 , 225050
-2.8715 , -1.0048 , 224730
-2.8615 , -1.0021 , 224990
-2.8515 , -0.9993 , 224565
-2.8415 , -0.9964 , 224660
-2.8315 , -0.9934 , 224845
-2.8215 , -0.9903 , 224770
-2.8115 , -0.9871 , 224635
-2.8015 , -0.9838 , 224620
-2.7915 , -0.9804 , 224885
-2.7815 , -0.9769 , 224385
-2.7715 , -0.9733 , 224555
-2.7615 , -0.9696 , 224640
-2.7515 , -0.9658 , 224270
-2.7415 , -0.9619 , 224020
-2.7315 , -0.9580 , 224150
-2.7215 , -0.9539 , 224525
-2.7115 , -0.9497 , 224020
-2.7015 , -0.9454 , 224300
-2.6915 , -0.9411 , 224490
-2.6815 , -0.9366 , 224565
-2.6715 , -0.9320 , 224480
-2.6615 , -0.9274 , 225050
-2.6515 , -0.9226 , 225090
-2.6415 , -0.9178 , 225265
-2.6315 , -0.9128 , 225250
-2.6215 , -0.9078 , 225145
-2.6115 , -0.9027 , 224935
-2.6015 , -0.8974 , 224895
-2.5915 , -0.8921 , 225150
-2.5815 , -0.8867 , 225365
-2.5715 , -0.8812 , 225720
-2.5615 , -0.8756 , 225855
-2.5515 , -0.8699 , 225960
-2.5415 , -0.8641 , 225870
-2.5315 , -0.8582 , 225640
-2.5215 , -0.8522 , 226175
-2.5115 , -0.8461 , 226210
-2.5015 , -0.8400 , 226240
-2.4915 , -0.8337 , 226255
-2.4815 , -0.8274 , 225930
-2.4715 , -0.8209 , 225645
-2.4615 , -0.8144 , 225945
-2.4515 , -0.8078 , 225520
-2.4415 , -0.8011 , 225660
-2.4315 , -0.7943 , 225940
-2.4215 , -0.7874 , 225830
-2.4115 , -0.7805 , 226370
-2.4015 , -0.7734 , 225965
-2.3915 , -0.7663 , 225605
-2.3815 , -0.7590 , 225370
-2.3715 , -0.7517 , 225855
-2.3615 , -0.7443 , 225345
-2.3515 , -0.7369 , 225610
-2.3415 , -0.7293 , 225350
-2.3315 , -0.7216 , 225200
-2.3215 , -0.7139 , 225855
-2.3115 , -0.7061 , 225790
-2.3015 , -0.6982 , 225830
-2.2915 , -0.6903 , 225205
-2.2815 , -0.6822 , 225440
-2.2715 , -0.6741 , 225540
-2.2615 , -0.6659 , 225545
-2.2515 , -0.6576 , 225335
-2.2415 , -0.6492 , 225425
-2.2315 , -0.6408 , 225670
-2.2215 , -0.6323 , 225740
-2.2115 , -0.6237 , 225695
-2.2015 , -0.6151 , 225685
-2.1915 , -0.6064 , 225245
-2.1815 , -0.5976 , 225100
-2.1715 , -0.5887 , 225130
-2.1615 , -0.5798 , 225195
-2.1515 , -0.5708 , 225560
-2.1415 , -0.5617 , 225395
-2.1315 , -0.5526 , 225285
-2.1215 , -0.5434 , 224835
-2.1115 , -0.5341 , 224740
-2.1015 , -0.5248 , 225370
-2.0915 , -0.5154 , 224670
