input,output,cycles taken
-3.1415 , -1.0412 , 17351
-3.1315 , -1.0411 , 17351
-3.1215 , -1.0410 , 17351
-3.1115 , -1.0407 , 17351
-3.1015 , -1.0403 , 17351
-3.0915 , -1.0398 , 17350
-3.0815 , -1.0393 , 17350
-3.0715 , -1.0386 , 17349
-3.0615 , -1.0378 , 17349
-3.0515 , -1.0370 , 17348
-3.0415 , -1.0360 , 17348
-3.0315 , -1.0350 , 17348
-3.0215 , -1.0338 , 17347
-3.0115 , -1.0326 , 17347
-3.0015 , -1.0312 , 17346
-2.9915 , -1.0298 , 17346
-2.9815 , -1.0282 , 17346
-2.9715 , -1.0266 , 17347
-2.9615 , -1.0249 , 17347
-2.9515 , -1.0230 , 17347
-2.9415 , -1.0211 , 17347
-2.9315 , -1.0191 , 17347
-2.9215 , -1.0169 , 17348
-2.9115 , -1.0147 , 17349
-2.9015 , -1.0124 , 17349
-2.8915 , -1.0100 , 17348
-2.8815 , -1.0075 , 17092
-2.8715 , -1.0048 , 17093
-2.8615 , -1.0021 , 17093
-2.8515 , -0.9993 , 17094
-2.8415 , -0.9964 , 17095
-2.8315 , -0.9934 , 17095
-2.8215 , -0.9903 , 17094
-2.8115 , -0.9871 , 17096
-2.8015 , -0.9838 , 17096
-2.7915 , -0.9804 , 17096
-2.7815 , -0.9769 , 17096
-2.7715 , -0.9733 , 17097
-2.7615 , -0.9696 , 17100
-2.7515 , -0.9658 , 17097
-2.7415 , -0.9619 , 17097
-2.7315 , -0.9580 , 17098
-2.7215 , -0.9539 , 17098
-2.7115 , -0.9497 , 17096
-2.7015 , -0.9454 , 17095
-2.6915 , -0.9411 , 17094
-2.6815 , -0.9366 , 17095
-2.6715 , -0.9320 , 17095
-2.6615 , -0.9274 , 17096
-2.6515 , -0.9226 , 17098
-2.6415 , -0.9178 , 17099
-2.6315 , -0.9128 , 17095
-2.6215 , -0.9078 , 17095
-2.6115 , -0.9027 , 17095
-2.6015 , -0.8974 , 17097
-2.5915 , -0.8921 , 17097
-2.5815 , -0.8867 , 17096
-2.5715 , -0.8812 , 17096
-2.5615 , -0.8756 , 17094
-2.5515 , -0.8699 , 17096
-2.5415 , -0.8641 , 17100
-2.5315 , -0.8582 , 17095
-2.5215 , -0.8522 , 17096
-2.5115 , -0.8461 , 17095
-2.5015 , -0.8400 , 17092
-2.4915 , -0.8337 , 17092
-2.4815 , -0.8274 , 17089
-2.4715 , -0.8209 , 17088
-2.4615 , -0.8144 , 17088
-2.4515 , -0.8078 , 17088
-2.4415 , -0.8011 , 17088
-2.4315 , -0.7943 , 17087
-2.4215 , -0.7874 , 17087
-2.4115 , -0.7805 , 17087
-2.4015 , -0.7734 , 17088
-2.3915 , -0.7663 , 17090
-2.3815 , -0.7590 , 17092
-2.3715 , -0.7517 , 17092
-2.3615 , -0.7443 , 17093
-2.3515 , -0.7368 , 17351
-2.3415 , -0.7293 , 17350
-2.3315 , -0.7216 , 17349
-2.3215 , -0.7139 , 17603
-2.3115 , -0.7061 , 17604
-2.3015 , -0.6982 , 17605
-2.2915 , -0.6902 , 17605
-2.2815 , -0.6822 , 17606
-2.2715 , -0.6741 , 17605
-2.2615 , -0.6659 , 17606
-2.2515 , -0.6576 , 17607
-2.2415 , -0.6492 , 17605
-2.2315 , -0.6408 , 17607
-2.2215 , -0.6323 , 17606
-2.2115 , -0.6237 , 17606
-2.2015 , -0.6151 , 17605
-2.1915 , -0.6063 , 17605
-2.1815 , -0.5975 , 17605
-2.1715 , -0.5887 , 17605
-2.1615 , -0.5797 , 17607
-2.1515 , -0.5707 , 17606
-2.1415 , -0.5617 , 17606
-2.1315 , -0.5526 , 17610
-2.1215 , -0.5434 , 17611
-2.1115 , -0.5341 , 17612
-2.1015 , -0.5248 , 17615
-2.0915 , -0.5154 , 17613
-2.0815 , -0.5060 , 17615
-2.0715 , -0.4965 , 17611
-2.0615 , -0.4869 , 17610
-2.0515 , -0.4773 , 17609
-2.0415 , -0.4676 , 17608
-2.0315 , -0.4579 , 17607
-2.0215 , -0.4481 , 17609
-2.0115 , -0.4383 , 17608
-2.0015 , -0.4284 , 17611
-1.9915 , -0.4185 , 17610
-1.9815 , -0.4085 , 17607
-1.9715 , -0.3985 , 17606
-1.9615 , -0.3884 , 17606
-1.9515 , -0.3783 , 17607
-1.9415 , -0.3681 , 17608
-1.9315 , -0.3579 , 17608
-1.9215 , -0.3477 , 17607
-1.9115 , -0.3374 , 17607
