input,output,cycles taken 
-3.1416 , -1.0413 , 17585 
-3.1316 , -1.0412 , 7138 
-3.1216 , -1.0410 , 7137 
-3.1116 , -1.0407 , 7137 
-3.1016 , -1.0404 , 7137 
-3.0916 , -1.0399 , 7138 
-3.0816 , -1.0393 , 7137 
-3.0716 , -1.0387 , 7137 
-3.0616 , -1.0379 , 7137 
-3.0516 , -1.0370 , 7137 
-3.0416 , -1.0361 , 7138 
-3.0316 , -1.0350 , 7137 
-3.0216 , -1.0339 , 7137 
-3.0116 , -1.0326 , 7137 
-3.0016 , -1.0313 , 7137 
-2.9916 , -1.0298 , 7138 
-2.9816 , -1.0283 , 7137 
-2.9716 , -1.0267 , 7137 
-2.9616 , -1.0249 , 7137 
-2.9516 , -1.0231 , 7137 
-2.9416 , -1.0212 , 7138 
-2.9316 , -1.0191 , 7137 
-2.9216 , -1.0170 , 7137 
-2.9116 , -1.0148 , 7137 
-2.9016 , -1.0124 , 7137 
-2.8916 , -1.0100 , 8076 
-2.8816 , -1.0075 , 7137 
-2.8716 , -1.0049 , 7137 
-2.8616 , -1.0022 , 7137 
-2.8516 , -0.9994 , 7137 
-2.8416 , -0.9965 , 7138 
-2.8316 , -0.9935 , 7137 
-2.8216 , -0.9903 , 7137 
-2.8116 , -0.9871 , 7137 
-2.8016 , -0.9838 , 7137 
-2.7916 , -0.9804 , 7137 
-2.7816 , -0.9770 , 7138 
-2.7716 , -0.9734 , 7137 
-2.7616 , -0.9697 , 7137 
-2.7516 , -0.9659 , 7137 
-2.7416 , -0.9620 , 7137 
-2.7316 , -0.9580 , 7138 
-2.7216 , -0.9539 , 7137 
-2.7116 , -0.9498 , 7137 
-2.7016 , -0.9455 , 7137 
-2.6916 , -0.9411 , 7137 
-2.6816 , -0.9367 , 7138 
-2.6716 , -0.9321 , 7137 
-2.6616 , -0.9274 , 7137 
-2.6516 , -0.9227 , 7137 
-2.6416 , -0.9178 , 7137 
-2.6316 , -0.9129 , 7138 
