input,output,cycles taken 
-3.1315 , -1.0412 , 955213
-3.1215 , -1.0411 , 949145
-3.1115 , -1.0410 , 953434
-3.1015 , -1.0407 , 957185
-3.0915 , -1.0403 , 956272
-3.0815 , -1.0398 , 948962
-3.0715 , -1.0393 , 947904
-3.0615 , -1.0386 , 944591
-3.0515 , -1.0378 , 951134
-3.0415 , -1.0370 , 958400
-3.0315 , -1.0360 , 945762
-3.0215 , -1.0350 , 952392
-3.0115 , -1.0338 , 947673
-3.0015 , -1.0326 , 956225
-2.9915 , -1.0312 , 952800
-2.9815 , -1.0298 , 954356
-2.9715 , -1.0282 , 956987
-2.9615 , -1.0266 , 954439
-2.9515 , -1.0249 , 956414
-2.9415 , -1.0230 , 955621
-2.9315 , -1.0211 , 956936
-2.9215 , -1.0191 , 954723
-2.9115 , -1.0169 , 953070
-2.9015 , -1.0147 , 957824
-2.8915 , -1.0124 , 958275
-2.8815 , -1.0100 , 943442
-2.8715 , -1.0075 , 952588
-2.8615 , -1.0048 , 957400
-2.8515 , -1.0021 , 951555
-2.8415 , -0.9993 , 952547
-2.8315 , -0.9964 , 947964
-2.8215 , -0.9934 , 951988
-2.8115 , -0.9903 , 944502
-2.8015 , -0.9871 , 952466
-2.7915 , -0.9838 , 953832
-2.7815 , -0.9804 , 947466
-2.7715 , -0.9769 , 949207
-2.7615 , -0.9733 , 946933
-2.7515 , -0.9696 , 953113
-2.7415 , -0.9658 , 950593
-2.7315 , -0.9619 , 948203
-2.7215 , -0.9580 , 954572
-2.7115 , -0.9539 , 952347
-2.7015 , -0.9497 , 937798
-2.6915 , -0.9454 , 946503
-2.6815 , -0.9411 , 947070
-2.6715 , -0.9366 , 955720
-2.6615 , -0.9320 , 950651
-2.6515 , -0.9274 , 943996
-2.6415 , -0.9226 , 952906
-2.6315 , -0.9178 , 941444
-2.6215 , -0.9128 , 956226
-2.6115 , -0.9078 , 947954
-2.6015 , -0.9027 , 951105
-2.5915 , -0.8974 , 948797
-2.5815 , -0.8921 , 944015
-2.5715 , -0.8867 , 953601
-2.5615 , -0.8812 , 955732
-2.5515 , -0.8756 , 951057
-2.5415 , -0.8699 , 953353
-2.5315 , -0.8641 , 953577
-2.5215 , -0.8582 , 955701
-2.5115 , -0.8522 , 942112
-2.5015 , -0.8461 , 947138
-2.4915 , -0.8400 , 944750
-2.4815 , -0.8337 , 960285
-2.4715 , -0.8274 , 954922
-2.4615 , -0.8209 , 952054
-2.4515 , -0.8144 , 955326
-2.4415 , -0.8078 , 952164
-2.4315 , -0.8011 , 950557
-2.4215 , -0.7943 , 958504
-2.4115 , -0.7874 , 953754
-2.4015 , -0.7805 , 946440
-2.3915 , -0.7734 , 954906
-2.3815 , -0.7663 , 952721
-2.3715 , -0.7590 , 950590
-2.3615 , -0.7517 , 951564
-2.3515 , -0.7443 , 952126
-2.3415 , -0.7369 , 951927
-2.3315 , -0.7293 , 952868
-2.3215 , -0.7216 , 953747
-2.3115 , -0.7139 , 956213
-2.3015 , -0.7061 , 954117
-2.2915 , -0.6982 , 942219
-2.2815 , -0.6903 , 957514
-2.2715 , -0.6822 , 951757
-2.2615 , -0.6741 , 957410
-2.2515 , -0.6659 , 958524
-2.2415 , -0.6576 , 956561
-2.2315 , -0.6492 , 949890
-2.2215 , -0.6408 , 953951
-2.2115 , -0.6323 , 956993
-2.2015 , -0.6237 , 952343
-2.1915 , -0.6151 , 943931
-2.1815 , -0.6064 , 945663
-2.1715 , -0.5976 , 943303
-2.1615 , -0.5887 , 947325
-2.1515 , -0.5798 , 953008
-2.1415 , -0.5708 , 948700
-2.1315 , -0.5617 , 951961
-2.1215 , -0.5526 , 957998
-2.1115 , -0.5434 , 952849
-2.1015 , -0.5341 , 953815
-2.0915 , -0.5248 , 961479
-2.0815 , -0.5154 , 949978
-2.0715 , -0.5060 , 954474
-2.0615 , -0.4965 , 958452
-2.0515 , -0.4869 , 954614
-2.0415 , -0.4773 , 953853
-2.0315 , -0.4676 , 958860
-2.0215 , -0.4579 , 951133
-2.0115 , -0.4481 , 947986
-2.0015 , -0.4383 , 948218
-1.9915 , -0.4284 , 956459
-1.9815 , -0.4185 , 951167
-1.9715 , -0.4085 , 953761
-1.9615 , -0.3985 , 949592
-1.9515 , -0.3884 , 954729
-1.9415 , -0.3783 , 946922
-1.9315 , -0.3681 , 947605
-1.9215 , -0.3579 , 957404
-1.9115 , -0.3477 , 948320
-1.9015 , -0.3374 , 954111
-1.8915 , -0.3271 , 948717
-1.8815 , -0.3167 , 943022
-1.8715 , -0.3064 , 951516
-1.8615 , -0.2959 , 949892
-1.8515 , -0.2855 , 951160
-1.8415 , -0.2750 , 951056
-1.8315 , -0.2645 , 943926
-1.8215 , -0.2539 , 951950
-1.8115 , -0.2433 , 952178
-1.8015 , -0.2327 , 945461
-1.7915 , -0.2221 , 942975
-1.7815 , -0.2115 , 944344
-1.7715 , -0.2008 , 946551
-1.7615 , -0.1901 , 947828
-1.7515 , -0.1794 , 955615
-1.7415 , -0.1687 , 951748
-1.7315 , -0.1579 , 954633
-1.7215 , -0.1472 , 946410
-1.7115 , -0.1364 , 958603
-1.7015 , -0.1256 , 947302
-1.6915 , -0.1148 , 953962
-1.6815 , -0.1040 , 952175
-1.6715 , -0.0932 , 953634
-1.6615 , -0.0824 , 954361
-1.6515 , -0.0716 , 943776
-1.6415 , -0.0607 , 953329
-1.6315 , -0.0499 , 946646
-1.6215 , -0.0391 , 947515
-1.6115 , -0.0282 , 947973
-1.6015 , -0.0174 , 956305
-1.5915 , -0.0066 , 952032
-1.5815 , 0.0041 , 946729
-1.5715 , 0.0150 , 953057
-1.5615 , 0.0258 , 949985
-1.5515 , 0.0282 , 972076
-1.5415 , 0.0391 , 967475
-1.5315 , 0.0499 , 965985
-1.5215 , 0.0608 , 965660
-1.5115 , 0.0716 , 973330
-1.5015 , 0.0824 , 974472
-1.4915 , 0.0932 , 968093
-1.4815 , 0.1039 , 973368
-1.4715 , 0.1147 , 970495
-1.4615 , 0.1254 , 966932
-1.4515 , 0.1361 , 974442
-1.4415 , 0.1468 , 978505
-1.4315 , 0.1575 , 972058
-1.4215 , 0.1681 , 969969
-1.4115 , 0.1788 , 972911
-1.4015 , 0.1893 , 973189
-1.3915 , 0.1999 , 971530
-1.3815 , 0.2104 , 969309
-1.3715 , 0.2209 , 969269
-1.3615 , 0.2314 , 970839
-1.3515 , 0.2418 , 973119
-1.3415 , 0.2523 , 960932
-1.3315 , 0.2626 , 965932
-1.3215 , 0.2730 , 973880
-1.3115 , 0.2833 , 973711
-1.3015 , 0.2935 , 974462
-1.2915 , 0.3037 , 973641
-1.2815 , 0.3139 , 973391
-1.2715 , 0.3240 , 976632
-1.2615 , 0.3341 , 972687
-1.2515 , 0.3442 , 976621
-1.2415 , 0.3542 , 970605
-1.2315 , 0.3642 , 973000
-1.2215 , 0.3741 , 965931
-1.2115 , 0.3839 , 972009
-1.2015 , 0.3938 , 975128
-1.1915 , 0.4035 , 966492
-1.1815 , 0.4133 , 974604
-1.1715 , 0.4229 , 964857
-1.1615 , 0.4325 , 977129
-1.1515 , 0.4421 , 966765
-1.1415 , 0.4516 , 969003
-1.1315 , 0.4611 , 957885
-1.1215 , 0.4705 , 974010
-1.1115 , 0.4798 , 970072
-1.1015 , 0.4891 , 972682
-1.0915 , 0.4983 , 960519
-1.0815 , 0.5075 , 972506
-1.0715 , 0.5166 , 961495
-1.0615 , 0.5257 , 968412
-1.0515 , 0.5346 , 977011
-1.0415 , 0.5436 , 965590
-1.0315 , 0.5524 , 977854
-1.0215 , 0.5612 , 970240
-1.0115 , 0.5700 , 973165
-1.0015 , 0.5786 , 970414
-0.9915 , 0.5872 , 973049
-0.9815 , 0.5958 , 970623
-0.9715 , 0.6043 , 971000
-0.9615 , 0.6127 , 971404
-0.9515 , 0.6210 , 973865
-0.9415 , 0.6293 , 976194
-0.9315 , 0.6374 , 958411
-0.9215 , 0.6456 , 973832
-0.9115 , 0.6536 , 967908
-0.9015 , 0.6616 , 966483
-0.8915 , 0.6695 , 977281
-0.8815 , 0.6774 , 973636
-0.8715 , 0.6851 , 971310
-0.8615 , 0.6928 , 959353
-0.8515 , 0.7004 , 969601
-0.8415 , 0.7080 , 960495
-0.8315 , 0.7154 , 975122
-0.8215 , 0.7228 , 964006
-0.8115 , 0.7301 , 969597
-0.8015 , 0.7373 , 971284
-0.7915 , 0.7445 , 967694
-0.7815 , 0.7516 , 974240
-0.7715 , 0.7586 , 966263
-0.7615 , 0.7655 , 962737
-0.7515 , 0.7723 , 969322
-0.7415 , 0.7791 , 967389
-0.7315 , 0.7857 , 964808
-0.7215 , 0.7923 , 973223
-0.7115 , 0.7989 , 974845
-0.7015 , 0.8053 , 971632
-0.6915 , 0.8116 , 963463
-0.6815 , 0.8179 , 964578
-0.6715 , 0.8241 , 968818
-0.6615 , 0.8302 , 968625
-0.6515 , 0.8362 , 977402
-0.6415 , 0.8421 , 968702
-0.6315 , 0.8479 , 968081
-0.6215 , 0.8537 , 968904
-0.6115 , 0.8594 , 964627
-0.6015 , 0.8649 , 961145
-0.5915 , 0.8704 , 971717
-0.5815 , 0.8758 , 969708
-0.5715 , 0.8812 , 975162
-0.5615 , 0.8864 , 975860
-0.5515 , 0.8915 , 965661
-0.5415 , 0.8966 , 975440
-0.5315 , 0.9016 , 969510
-0.5215 , 0.9064 , 969129
-0.5115 , 0.9112 , 969352
-0.5015 , 0.9159 , 975704
-0.4915 , 0.9205 , 965218
-0.4815 , 0.9250 , 968800
-0.4715 , 0.9295 , 968994
-0.4615 , 0.9338 , 968424
-0.4515 , 0.9380 , 975748
-0.4415 , 0.9422 , 967319
-0.4315 , 0.9463 , 973616
-0.4215 , 0.9502 , 972564
-0.4115 , 0.9541 , 970291
-0.4015 , 0.9579 , 970539
-0.3915 , 0.9616 , 962960
-0.3815 , 0.9652 , 976195
-0.3715 , 0.9687 , 959610
-0.3615 , 0.9721 , 970637
-0.3515 , 0.9754 , 970512
-0.3415 , 0.9786 , 969991
-0.3315 , 0.9817 , 968317
-0.3215 , 0.9848 , 968178
-0.3115 , 0.9877 , 964313
-0.3015 , 0.9905 , 971955
-0.2915 , 0.9933 , 968990
-0.2815 , 0.9959 , 975874
-0.2715 , 0.9985 , 970925
-0.2615 , 1.0009 , 973994
-0.2515 , 1.0033 , 964112
-0.2415 , 1.0055 , 959742
-0.2315 , 1.0077 , 968187
-0.2215 , 1.0098 , 963989
-0.2115 , 1.0118 , 962971
-0.2015 , 1.0136 , 968175
-0.1915 , 1.0154 , 961999
-0.1815 , 1.0171 , 968720
-0.1715 , 1.0187 , 967377
-0.1615 , 1.0202 , 970398
-0.1515 , 1.0215 , 970867
-0.1415 , 1.0228 , 966753
-0.1315 , 1.0240 , 969729
-0.1215 , 1.0251 , 966812
-0.1115 , 1.0261 , 968804
-0.1015 , 1.0270 , 969000
-0.0915 , 1.0278 , 962896
-0.0815 , 1.0285 , 966967
-0.0715 , 1.0291 , 964432
-0.0615 , 1.0296 , 965749
-0.0515 , 1.0300 , 964320
-0.0415 , 1.0303 , 968525
-0.0315 , 1.0305 , 974948
-0.0215 , 1.0306 , 973582
-0.0115 , 1.0306 , 972120
-0.0015 , 1.0305 , 972687
0.0084 , 1.0303 , 963140
0.0184 , 1.0300 , 966090
0.0284 , 1.0296 , 969759
0.0384 , 1.0291 , 974097
0.0484 , 1.0285 , 974179
0.0584 , 1.0278 , 965199
0.0684 , 1.0269 , 964619
0.0784 , 1.0260 , 960311
0.0884 , 1.0250 , 962750
0.0984 , 1.0239 , 969255
0.1084 , 1.0227 , 969504
0.1184 , 1.0214 , 971695
0.1284 , 1.0200 , 958852
0.1384 , 1.0185 , 970450
0.1484 , 1.0169 , 969474
0.1584 , 1.0152 , 969764
0.1684 , 1.0134 , 970495
0.1784 , 1.0114 , 969522
0.1884 , 1.0094 , 973411
0.1984 , 1.0073 , 964332
0.2084 , 1.0051 , 965621
0.2184 , 1.0028 , 972103
0.2284 , 1.0004 , 964447
0.2384 , 0.9978 , 975274
0.2484 , 0.9952 , 966741
0.2584 , 0.9925 , 972046
0.2684 , 0.9897 , 974118
0.2784 , 0.9867 , 969166
