input,output,cycles taken 
-3.1315 , -1.0412 , 61064
-3.1215 , -1.0411 , 60319
-3.1115 , -1.0410 , 60342
-3.1015 , -1.0407 , 60259
-3.0915 , -1.0403 , 60219
-3.0815 , -1.0398 , 60127
-3.0715 , -1.0393 , 60264
-3.0615 , -1.0386 , 60105
-3.0515 , -1.0378 , 60308
-3.0415 , -1.0370 , 60277
-3.0315 , -1.0360 , 60221
-3.0215 , -1.0350 , 60235
-3.0115 , -1.0338 , 60224
-3.0015 , -1.0326 , 60307
-2.9915 , -1.0312 , 60295
-2.9815 , -1.0298 , 60271
-2.9715 , -1.0282 , 60438
-2.9615 , -1.0266 , 60374
-2.9515 , -1.0249 , 60381
-2.9415 , -1.0230 , 60312
-2.9315 , -1.0211 , 60381
-2.9215 , -1.0191 , 60317
-2.9115 , -1.0169 , 60496
-2.9015 , -1.0147 , 60362
-2.8915 , -1.0124 , 60311
-2.8815 , -1.0100 , 60444
-2.8715 , -1.0075 , 60254
-2.8615 , -1.0048 , 60328
-2.8515 , -1.0021 , 60265
-2.8415 , -0.9993 , 60284
-2.8315 , -0.9964 , 60215
-2.8215 , -0.9934 , 60243
-2.8115 , -0.9903 , 60269
-2.8015 , -0.9871 , 60240
-2.7915 , -0.9838 , 60199
-2.7815 , -0.9804 , 60304
-2.7715 , -0.9769 , 60329
-2.7615 , -0.9733 , 60160
-2.7515 , -0.9696 , 60221
-2.7415 , -0.9658 , 60292
-2.7315 , -0.9619 , 60245
-2.7215 , -0.9580 , 60117
-2.7115 , -0.9539 , 60163
-2.7015 , -0.9497 , 60260
-2.6915 , -0.9454 , 60244
-2.6815 , -0.9411 , 60133
-2.6715 , -0.9366 , 60077
-2.6615 , -0.9320 , 60258
-2.6515 , -0.9274 , 60222
-2.6415 , -0.9226 , 60303
-2.6315 , -0.9178 , 60404
-2.6215 , -0.9128 , 60439
-2.6115 , -0.9078 , 60223
-2.6015 , -0.9027 , 60325
-2.5915 , -0.8974 , 60144
-2.5815 , -0.8921 , 60250
-2.5715 , -0.8867 , 60385
-2.5615 , -0.8812 , 60349
-2.5515 , -0.8756 , 60443
-2.5415 , -0.8699 , 60485
-2.5315 , -0.8641 , 60428
-2.5215 , -0.8582 , 60464
-2.5115 , -0.8522 , 60618
-2.5015 , -0.8461 , 60577
-2.4915 , -0.8400 , 60648
-2.4815 , -0.8337 , 60584
-2.4715 , -0.8274 , 60549
-2.4615 , -0.8209 , 60525
-2.4515 , -0.8144 , 60510
-2.4415 , -0.8078 , 60291
-2.4315 , -0.8011 , 60415
-2.4215 , -0.7943 , 60615
-2.4115 , -0.7874 , 60407
-2.4015 , -0.7805 , 60409
-2.3915 , -0.7734 , 60501
-2.3815 , -0.7663 , 60441
-2.3715 , -0.7590 , 60478
-2.3615 , -0.7517 , 60526
-2.3515 , -0.7443 , 60535
-2.3415 , -0.7369 , 60504
-2.3315 , -0.7293 , 60562
-2.3215 , -0.7216 , 60444
-2.3115 , -0.7139 , 60588
-2.3015 , -0.7061 , 60636
-2.2915 , -0.6982 , 60623
-2.2815 , -0.6903 , 60550
-2.2715 , -0.6822 , 60434
-2.2615 , -0.6741 , 60500
-2.2515 , -0.6659 , 60529
-2.2415 , -0.6576 , 60468
-2.2315 , -0.6492 , 60358
-2.2215 , -0.6408 , 60565
-2.2115 , -0.6323 , 60474
-2.2015 , -0.6237 , 60587
-2.1915 , -0.6151 , 60545
-2.1815 , -0.6064 , 60483
-2.1715 , -0.5976 , 60335
-2.1615 , -0.5887 , 60433
-2.1515 , -0.5798 , 60650
-2.1415 , -0.5708 , 60650
-2.1315 , -0.5617 , 60625
-2.1215 , -0.5526 , 60616
-2.1115 , -0.5434 , 60579
-2.1015 , -0.5341 , 60553
-2.0915 , -0.5248 , 60427
-2.0815 , -0.5154 , 60426
-2.0715 , -0.5060 , 60571
-2.0615 , -0.4965 , 60310
-2.0515 , -0.4869 , 60397
-2.0415 , -0.4773 , 60343
-2.0315 , -0.4676 , 60288
-2.0215 , -0.4579 , 60455
-2.0115 , -0.4481 , 60375
-2.0015 , -0.4383 , 60432
-1.9915 , -0.4284 , 60432
-1.9815 , -0.4185 , 60408
-1.9715 , -0.4085 , 60388
-1.9615 , -0.3985 , 60434
-1.9515 , -0.3884 , 60405
-1.9415 , -0.3783 , 60524
-1.9315 , -0.3681 , 60564
-1.9215 , -0.3579 , 60314
-1.9115 , -0.3477 , 60348
-1.9015 , -0.3374 , 60247
-1.8915 , -0.3271 , 60235
-1.8815 , -0.3167 , 60334
-1.8715 , -0.3064 , 60381
-1.8615 , -0.2959 , 60268
-1.8515 , -0.2855 , 60275
-1.8415 , -0.2750 , 60170
-1.8315 , -0.2645 , 60316
-1.8215 , -0.2539 , 60388
-1.8115 , -0.2433 , 60214
-1.8015 , -0.2327 , 60390
-1.7915 , -0.2221 , 60358
-1.7815 , -0.2115 , 60346
-1.7715 , -0.2008 , 60261
-1.7615 , -0.1901 , 60457
-1.7515 , -0.1794 , 60313
-1.7415 , -0.1687 , 60201
-1.7315 , -0.1579 , 60355
-1.7215 , -0.1472 , 60342
-1.7115 , -0.1364 , 60418
-1.7015 , -0.1256 , 60573
-1.6915 , -0.1148 , 60288
-1.6815 , -0.1040 , 60657
-1.6715 , -0.0932 , 60500
-1.6615 , -0.0824 , 60552
-1.6515 , -0.0716 , 60513
-1.6415 , -0.0607 , 60537
-1.6315 , -0.0499 , 60405
-1.6215 , -0.0391 , 60512
-1.6115 , -0.0282 , 60312
-1.6015 , -0.0174 , 60385
-1.5915 , -0.0066 , 60446
-1.5815 , 0.0041 , 60513
-1.5715 , 0.0150 , 60595
-1.5615 , 0.0258 , 60402
-1.5515 , 0.0282 , 61475
-1.5415 , 0.0391 , 61500
-1.5315 , 0.0499 , 61457
-1.5215 , 0.0608 , 61532
-1.5115 , 0.0716 , 61419
-1.5015 , 0.0824 , 61415
-1.4915 , 0.0932 , 61507
-1.4815 , 0.1039 , 61560
-1.4715 , 0.1147 , 61403
-1.4615 , 0.1254 , 61598
-1.4515 , 0.1361 , 61562
-1.4415 , 0.1468 , 61791
-1.4315 , 0.1575 , 61419
-1.4215 , 0.1681 , 61259
-1.4115 , 0.1788 , 61382
-1.4015 , 0.1893 , 61424
-1.3915 , 0.1999 , 61238
-1.3815 , 0.2104 , 61385
-1.3715 , 0.2209 , 61386
-1.3615 , 0.2314 , 61290
-1.3515 , 0.2418 , 61338
